Office,Origin,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Egypt ,Non-Resident,731,738,713,727,704,671,667,596,474,462,511,479,517,503,528,693,706,,1139,1146,1081,923,788,626,312,1008,,1589,1649,1452,1625,1591
El Salvador ,Resident,12,,22,39,31,16,,,,19,10,10,11,10,10,3,,,,,,,,,,,,,,,,
El Salvador ,Non-Resident,79,,61,84,65,40,,,,34,44,26,97,75,76,64,,,,,,,,,,,,,,,,
Estonia ,Resident,,,,,,,,,,,,,,,16,16,12,15,20,13,13,18,19,18,27,23,36,44,62,76,84,62
Estonia ,Non-Resident,,,,,,,,,,,,,,,452,63,198,360,443,604,791,699,700,584,97,15,9,19,10,20,13,15
Ethiopia ,Resident,,,,,,,,,,,,,,,,,3,,,,3,,1,3,1,1,5,12,,,,
Ethiopia ,Non-Resident,,,,,,,,,,,,,,,,,,,11,18,9,15,12,6,3,4,5,25,,,,
Eurasian Patent Organization ,Resident,,,,,,,,,,,,,,,,,39,41,57,76,101,106,110,138,133,152,186,375,389,422,474,536
Eurasian Patent Organization ,Non-Resident,,,,,,,,,,,,,,,,,70,417,1028,1041,1158,1169,1184,1203,1497,1788,2107,2316,2677,2379,2855,3024
Europe ,Resident,279743,256928,270372,267494,265495,276554,278755,288307,285368,253060,210135,137277,163671,161394,151905,140780,162186,160410,170448,189771,203208,198586,188017,193351,196989,197443,203107,215923,220390,212873,221798,215220
Europe ,Non-Resident,135013,109352,100846,102749,86581,84771,71937,62875,69999,60433,58816,71672,76771,66190,65241,68206,84968,94274,98511,106009,117525,121869,119122,121401,116704,118560,118594,122762,125484,110181,121024,117567
European Patent Office ,Resident,,,,,,,,,,,,22152,23505,21668,21029,20865,31598,36510,41190,45071,49740,53737,53409,58255,61159,63665,65625,68304,72199,68614,74399,71898
European Patent Office ,Non-Resident,,,,,,,,,,,,23490,22549,21041,20344,19792,32437,36394,40897,44288,50952,56290,52834,58349,62542,65048,69606,72459,73951,65966,76562,70895
Fiji ,Resident,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji ,Non-Resident,11,14,,,,18,17,,,,,,,,,,,,,,,,,,,,,,,,,
Finland ,Resident,1356,1423,1638,1719,1775,1727,1754,1859,1981,1948,2059,2123,2052,2166,2306,2058,2179,2355,2471,2511,2579,2390,2162,1972,2011,1830,1816,1804,1799,1806,1731,1650
Finland ,Non-Resident,2734,2809,2907,3178,3408,3472,3627,3941,4084,4417,4410,2671,3953,2052,1842,1733,483,250,212,343,324,270,207,215,209,229,202,211,147,127,102,124
France ,Resident,11000,10945,10681,11147,11333,12050,12155,12695,12437,12592,12378,12597,12539,12638,12519,12419,12916,13252,13251,13592,13870,13499,13519,13511,14230,14327,14529,14722,14658,14100,14748,14655
France ,Non-Resident,16989,13723,11561,10029,8867,7543,6369,5875,5194,4986,4260,3908,3547,3402,3520,3477,3484,3637,3544,3282,3483,3605,3389,3339,3060,2948,2720,2387,1761,1593,1832,2099
Georgia ,Resident,,,,,,,,,,,,,365,502,386,287,288,263,277,265,232,254,194,194,249,225,236,83,221,250,179,138
Georgia ,Non-Resident,,,,,,,,,,,,,210,178,159,420,173,205,229,190,224,249,252,209,209,236,299,79,26,218,180,260
German Democratic Republic ,Resident,6599,7420,8584,10515,11471,11790,11460,11180,10982,10073,4558,,,,,,,,,,,,,,,,,,,,,
German Democratic Republic ,Non-Resident,1891,2177,1554,1614,1650,1723,1163,1211,1259,1302,2967,,,,,,,,,,,,,,,,,,,,,
Germany ,Resident,28683,29841,30668,31658,31984,32202,32169,31597,31912,31171,30724,32256,33919,34752,36715,38103,42322,44438,46523,50029,51736,49989,47598,47818,48448,48367,48012,47853,49240,47859,47047,46986
Germany ,Non-Resident,19900,16738,17158,15445,13225,12180,10945,9933,9332,9168,8605,7784,7404,6995,7261,8055,9511,11291,10843,9502,10406,10486,10589,10663,10786,11855,12573,13139,13177,11724,12198,12458
Ghana ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana ,Non-Resident,17,19,18,14,,,15,16,,12,20,12,11,,39,,,,,,,,,,,,,,,,,
Greece ,Resident,1265,1221,1264,1191,1277,1121,1249,1539,205,216,241,188,222,221,267,266,267,293,276,290,306,385,376,393,379,462,532,575,628,698,728,
Greece ,Non-Resident,1570,1843,1911,1936,2142,2035,1714,586,457,454,466,192,211,171,139,46,37,57,34,33,34,49,36,27,28,20,30,20,30,22,16,
Grenada ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada ,Non-Resident,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala ,Resident,,,17,,,72,25,8,16,5,27,31,27,40,21,32,22,36,26,28,54,30,8,6,9,17,28,9,5,7,7,4
Guatemala ,Non-Resident,,,168,,115,92,106,76,82,75,97,104,79,94,99,77,142,175,218,267,250,285,293,296,266,388,500,99,306,322,374,327
Guyana ,Resident,,,,1,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana ,Non-Resident,,,,12,5,16,8,3,,,6,,,,,,,,,,,,,,,,,,,,,
Haiti ,Resident,4,,2,1,2,6,4,9,1,,,3,,,,,3,,,1,,,,,,,,,,,,
Haiti ,Non-Resident,13,,24,15,11,15,20,9,4,,,5,,,,,6,,,5,,,,,,,,,,,,
