United States Billion-Dollar Disasters Cost (CPI-Adjusted)
Cost values are in billions of dollars
State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,2000,1,9.1,8.6,9.9,8.2,10.2,8.1,10.4,1,1.6,0.9,1.8,1.2,1.9,0.9,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.6,2.2,1.6,2.3,1.6,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.8,2.2,1.8,2.2,1.6,2.3,1,1.3,1.1,1.5,0.9,1.5,0.9,1.6,5,15.1,14.0,17.6,13.7,18.1,13.1,18.5
US,2001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.6,5.9,6.7,5.7,7.1,5.6,7.3,1,14.7,12.5,15.7,11.9,16.6,11.6,17.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,21.3,18.4,22.4,17.6,23.7,17.2,24.4
US,2002,1,15.7,15.7,17.2,15.3,17.6,15.1,17.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.8,4.5,5.1,4.3,5.5,4.1,5.5,2,3.9,3.4,4.2,3.1,4.6,3.1,4.8,1,2.2,1.9,2.6,1.7,2.7,1.7,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,26.6,25.5,29.1,24.4,30.4,24.0,30.9
US,2003,1,8.5,7.8,8.7,7.7,8.8,7.5,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.4,12.1,15.0,11.5,15.6,11.2,16.1,1,9.2,7.8,9.5,7.5,10.0,7.5,10.2,1,6.5,5.5,6.8,5.3,7.2,5.2,7.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,37.6,33.2,40.0,32.0,41.6,31.4,42.8
US,2004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.8,2.6,3.1,2.5,3.3,2.3,3.5,4,87.3,78.2,93.4,75.9,96.4,74.8,98.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,90.1,80.8,96.5,78.4,99.7,77.1,101.9
US,2005,1,2.4,2.4,2.8,2.3,2.8,2.3,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.4,1.3,1.4,1.1,1.4,4,258.4,216.9,282.3,205.8,298.5,199.2,308.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,262.2,220.6,286.5,209.4,302.7,202.6,313.1
US,2006,1,9.4,8.7,10.1,8.6,10.5,8.4,10.6,1,2.3,2.1,3.2,2.0,3.5,1.8,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.7,9.8,11.3,9.4,11.5,9.2,11.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,2.0,2.5,2.0,2.7,1.9,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,24.7,22.6,27.1,22.0,28.2,21.3,28.8
US,2007,1,5.4,5.3,5.9,5.2,6.1,5.2,6.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.2,4.6,5.9,4.4,6.2,4.2,6.2,1,3.7,3.3,3.7,3.1,3.7,3.1,3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.1,3.8,4.4,3.7,4.6,3.6,4.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,18.4,17.0,19.9,16.4,20.6,16.1,21.1
US,2008,1,10.2,9.6,11.0,9.3,11.4,9.2,11.5,1,14.5,11.4,14.3,10.8,14.9,10.5,15.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.9,12.4,14.0,11.8,14.4,11.1,14.5,3,52.6,48.1,56.3,46.8,58.2,46.2,59.4,1,1.7,1.7,2.0,1.6,2.0,1.4,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,91.9,83.2,97.6,80.3,100.9,78.4,102.7
US,2009,1,5.1,5.0,6.1,4.8,6.4,4.7,6.6,1,1.3,1.0,1.3,0.9,1.3,0.9,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.5,10.7,11.7,10.3,12.0,10.1,12.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.6,1.3,1.7,1.1,1.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,19.3,18.0,20.7,17.3,21.4,16.8,21.9
